site_no_sel,mape_st,bias_st
10064000,0.642943738487069,0.0473632847506353
10073000,1.44905713037072,0.0805502276880419
10080900,0.618880152098945,0.0376807168680362
10099800,0.39888761566337,0.0157171557150566
10100000,0.171007264717337,0.0264922565887
14100000,0.239636488686585,5.75152613548902e-05
14420000,0.687054784573947,0.0609324384142629
14710000,0.308389779755891,0.0270231857408678
15275100,1.22303795356329,0.0627860045359572
15400000,0.352918087075263,0.0226733251053213
15860000,0.319684608092831,0.013623206821602
17050001,0.170483703187294,0.022509477768986
17730000,0.482035280089031,0.0244335314566724
30030000,0.38198847540954,0.0275402111173351
40800000,0.253646920163261,0.0165096110965397
01BO001,0.430755857994922,0.0130391608131744
05AD007,0.447207466514688,0.0128878549809175
05AK001,0.521618065197854,0.0453522062322371
05CC002,0.125923570411432,0.00490151341293976
05CE001,1.12328696883191,0.0423477439160818
05CK004,0.245022902416212,6.15140446305063e-05
05GG001,0.255324538460555,0.00642904636242703
05KJ001,0.0989968445317719,0.0119514283481244
05MH005,0.326266357220147,0.000178556684631292
05MJ001,0.302195960014311,0.0218974647897368
05OC001,0.271883353780068,0.000671664259349836
05OJ010,0.374738576249206,0.00143417786836575
05TG003,0.160379082310049,0.0140787448358004
07BK006,0.346815999993028,0.00694262400638701
07CD001,0.312678134548448,0.0067768072866119
07DD001,0.295037523728387,0.0146202605896908
07HA001,0.511304317819043,0.0158791723993266
07NB001,0.323798617915413,0.0144615702881648
08CB001,0.188749289493659,0.11447811316127
08KA004,0.242756792153816,0.0300829796577442
08MC018,0.274544662102842,0.0141585308256182
08MF035,0.338243022147177,0.0301357853705551
08MH024,0.556975305781922,0.0170312952337219
10CC002,0.126134474098214,0.0168456746875478
10CD001,0.273888534544929,0.12189820793509
10ED002,0.327486554322642,0.00620112218446778
10LC014,0.319619246387002,0.0142351754475112
10MC002,0.513261392231951,0.0647888822119169
01036390,1.11450554892252,0.956506236945591
01049265,1.1799893566552,0.383597145974125
01059400,0.989361223342267,0.0203724921219195
01138500,1.82842712474619,0.182345436786362
01154500,1.79939113583192,0.0723995084420079
01184000,0.821890907200801,0.21710165447049
01193050,0.891421911334026,0.43139359182544
01331095,0.599086450765646,0.00342005159921044
01335764,0.834533289757881,0.0167627691304284
01335770,0.473105561387984,0.00844550061522664
01349527,0.744006824888372,0.197348017157575
01357500,0.539440022915197,0.0220411859209787
01372007,0.6644192420737,0.0804549744785112
01427510,4.20419956703609,0
01428500,1.42654361021076,0.437499249181992
01438500,0.457392108544449,0.215247982583892
01443000,1.18828549951703,0.0805637430969743
01444800,0.516530925259031,0.0254578474214366
01454700,1.30200263825941,0.0189942326085593
01457500,0.700226627020297,0.0735111084310538
01460820,1.64575131106459,0.463653069846865
01463500,0.632704954050027,0.0207250801810193
01474010,0.329347262481689,0.0122703181252091
01531500,0.768082694192114,0.0348190705500118
01534090,1.06046146969039,0.0410101426724621
01551500,0.225462965363754,0.123576189241116
01553500,1.13034237568727,0.0702894710453139
01553990,0.910828992966243,0.165362302960959
01567000,0.712231347289003,0.0399356865134766
01576000,1.32908912620662,0.075686089765447
01578310,0.326969071209746,0.207715535535455
01618000,0.978679890485395,0.132693387743037
01636500,1.17810391224374,0.00015703588901439
01638500,0.592078158859079,0.0235865046834429
01668000,1.60825590460604,0.00632317547927164
02024752,2.80005254012295,0.0773665651368161
02035000,1.07799482745235,0.264582259213718
02037618,0.919476722785941,0.0396091259285354
02096960,0.438493699925281,0.53730614816797
02102000,0.698820731384181,0.279280294994152
0210215985,0.409471375396366,0.00134092831873711
02105769,0.457737973711325,0.107917792906379
02148315,0.256204924765493,0.025788771540646
02171650,0.840211743859164,0.0391355128874316
02198500,0.581070499322989,0.0242765571847956
02210500,0.844582600263259,0.22712861288104
02215500,0.507923615176671,0.0135600086322962
02223600,0.665720085449684,0.0265045281933594
02226010,0.361081362217885,0.00353656775082256
02226160,0.255339713705862,0.0339747116822418
02234500,0.719602745360272,0.274883190113556
02236000,0.748271993412248,0.0349450915555305
02272500,0.538488678043457,0.175296153391064
02272502,0.390891439108183,0.172507861662199
02337445,1.30361601757786,0.0800990084342928
02338000,0.526478033323948,0.0356323207053584
02338500,0.926201371412122,0.157870482681819
02342881,0.458649914978945,0.0579885871774213
02344040,0.512004604620466,0.00720833091326822
02349605,0.37990022966292,0.0495184514809881
02352790,0.316998803626603,0.0805003540838816
02353000,0.557064720191715,0.0190415841260183
02356000,0.66124273505802,0.0229884389669024
02356015,0.581192064856908,0.0716903315249009
02358000,0.350400163050528,0.0664552350928438
02359170,0.406164844370738,0.0761719101022673
02397100,0.413110853766165,0.0380484190738126
02397530,0.418275365743737,0.0122720108299479
02420000,1.53495988568825,0.481768740092313
02437500,0.577142420483986,0.103305250839905
02449000,0.22083785938429,0.0297020330541331
02469762,0.494209917489609,0.0533902851785439
02470500,0.406823298616831,0.0421296041229335
02489500,0.269000399642448,0.00749734642222344
03016000,0.294971491942584,0.0663329079273998
03026175,0.358808322375664,0.0144007350027005
03030852,0.262648258931299,0.206832196084267
03036500,1.31949820369801,0.0221395290501234
03044000,0.647709238357536,0.00826133986126365
03049652,0.420110341120196,0.0499183808911416
03063000,0.705502755802892,0.0445961558176993
03071700,0.180209757084522,0.0480690388255867
03075070,0.60893595980669,0.0462632165103152
03083500,0.693946526773036,0.105367411981609
03085000,0.973129672000552,0.0479543436048504
03086000,0.540538776652729,0.11017620823462
03107500,0.758060388738449,0.0202797505869556
03109670,1.02107328441734,0.307050806134555
03112510,0.419235900175269,0.30030411700347
03150000,0.445572791078784,0.00251209342145153
03176500,2.09209455952564,0.516276094837677
03201300,0.933738404000067,0.238225873947562
03216600,0.396469897058124,0.0506998941716852
03245500,0.951550273689326,0.011119345890336
03284000,0.623330196327051,0.0734596671401078
03303280,0.667918496753897,0.094594386498402
03321500,0.228226128107856,0.0468075574896669
03373500,0.458878940931905,0.0774744871177659
03374100,0.427758299132365,0.0118401190168294
03378500,0.384537089650154,0.0145622418565108
03425000,0.344991110180151,0.0506060836600077
03609750,0.299256277435418,0.0324452795138155
03612500,0.363173179032235,0.00813866460233181
03612600,0.26789975714822,0.0126766794017195
04024000,0.620260691812475,0.0343065350378156
04040018,0.291073228773848,0.0202454692208649
04057004,0.366600433756338,0.012194417574773
04057005,0.384989826577823,0.0400625253595543
04067500,0.411154031369385,0.0229888407039389
04067648,0.308413166258975,0.00228356030754906
04067651,0.748192553951627,0.0366870085107391
04073500,1.31274492177722,0.0670550586544954
04084445,0.396087613327292,0.0032029602914514
04085054,0.271809510154329,0.0473018981417563
04085059,0.237247389076656,0.0255529459316626
040851385,0.368261420798173,0.00783181363676078
04099000,0.395787038561838,0.0799335656543385
04101500,0.236324070011253,0.240112603925141
04102080,0.320721835954563,0.00936808363368868
04102533,0.235435632528252,0.0123920435110936
04106906,0.386734221580327,0.0157614803802872
04119300,0.678579449882715,0.146734667051667
04119400,0.520353638825125,0.0441676720248463
04120250,0.160951646164911,0.0139023885455889
04122150,0.411994740698048,0.0352345254235065
04126010,0.483417435781357,0.0146188363533886
04126520,0.452248885082633,0.101933490883444
04132052,0.0847974846178177,0.034671771272802
04135020,0.0573712634405643,0.00206827993995518
04156510,0.706240571377034,0.0206081870000783
04157000,0.151716560130607,0.0065142758005079
04157005,0.511383489898079,0.0254941397134842
04191500,0.400488768600417,0.0212413150001525
04192500,0.360975808697458,0.0256230628998408
04193500,0.457290529211806,0.0100734563389766
04219501,0.910416834990037,0.00552363034432846
04219640,0.404994267295758,0.0671900678320214
04231600,0.877061585712039,0.40471530464066
04248250,0.229098202752767,0.044721750934102
04264331,0.662393374314188,0.0214837154766108
05054000,0.616554460882733,0.0315635974605917
05064500,0.259534806492423,0.0730772118446394
05082500,0.434540609242232,0.0844804919131756
05288500,0.421149727405713,0.0210191798435497
05321995,0.533006376250777,0.0283089804861552
05325000,0.434367769571023,0.0230009201238578
05330000,0.571348402636772,0.082761837462481
05330920,0.780396394277049,0.124747073506552
05331580,0.404167691419793,0.064179161252778
05333500,0.308068727534066,0.0517607419288255
05340500,0.486017140412043,0.104524697778284
05355250,0.276154939092989,0.065587691533052
05374900,0.621927907508108,0.111626342360343
05378500,0.231670727874204,0.00269692928924536
05389500,0.360268284633057,0.147850664188452
05416100,0.299910126012759,0.0135835798815078
05418600,0.561010207703029,0.177168364227996
05420500,0.469750056939269,0.0274617032644435
05427085,0.174214511843365,0.00272051959349806
05427570,0.318016954009116,0.0145353946574771
05437500,0.409882200713648,0.0250770327261287
05440700,0.381698559415515,0.0136472966856369
05442200,0.229482780268493,0.0452961639122276
05446500,0.413510550018236,0.154923944546252
05451500,0.61390821215743,0.00323689221731516
05453100,0.136915037737819,0.139627877879145
05454500,0.421931994313835,0.00667429987795032
05463050,0.741507465076214,0.0919321557630017
05465500,0.433167538020397,0.0141118697565638
05474000,0.531914227720815,0.0480679767925086
05481650,0.64538266308774,0.0482674174467599
05490500,0.931308041553797,0.119293762132524
05490600,0.63447407278564,0.0111359763259706
05508000,0.778786781351325,0.0183274761196484
05520500,0.424654174879942,0.121807125200635
05526000,0.469829244832686,0.467691355063061
05527500,0.428364555088506,0.00287979256770488
05537980,0.595448070434931,0.110414183593834
05543500,0.468780862053661,0.00662843612261255
05548500,0.114941661714461,0.0239542580748047
05549600,0.551997055260438,0.136969206861606
05550000,0.54876840822618,0.288987674289468
05551540,0.544228068676698,0.451538134958064
05552500,0.607478094984154,0.136968023303052
05553500,0.702185623672077,0.0253409632266359
05556200,0.294427103708248,0.00522844220773333
05558300,0.196587485237872,0.00163791408458547
05558995,0.290858627181376,0.000924729753149167
05559600,0.328876431458136,0.0293480205974459
05559900,0.358853973183126,0.000800551840290931
05563800,0.335533510762178,0.0112235418005477
05570520,0.121826249374322,0.0317984151080892
05583000,0.494806009262963,0.0193361989817509
05586100,0.460244634689161,0.0036306936971866
05586300,0.467352438406537,0.225637708140838
05587060,0.493699636295436,0.0125790811180309
05587455,0.371668894960729,0.252705631987833
05587500,0.722924036210109,0.084490785009373
05595000,0.684446807569257,0.613709051680542
06054500,0.867339448349144,0.224937615703132
06089000,0.708423291653403,0.100543509182667
06115200,0.443029198268255,0.0593777953972156
06191500,0.736335534733052,0.0587636051202049
06192500,0.353001733993519,0.0409736717996589
06214500,1.31274544323793,0.504385082866992
06236100,0.637127815352266,0.0281123062122277
06264700,0.929561460526279,0.145788716462252
06274300,1.11022155027748,0.0569070988278591
06279500,0.675863132083927,0.0901434896291493
06295000,0.455893708011428,0.157001466580168
06324500,0.642624081401039,0.215487226038657
06324710,0.38877371976669,0.0394931865456456
06326500,1.08181383529002,0.377934397226415
06329500,0.459882434280781,0.0366102408098942
06341000,0.747346230596219,0.032085598421123
06342500,0.312143502672236,0.134112882613352
06438500,2.82315392064423,0.00860206089468885
06440000,1.49146187923103,0.0865289319477869
06452000,0.572035165147194,0.0209989366554117
06470830,0.510680664096931,0.174781954450512
06470875,0.347101359562969,0.282743224736251
06485500,0.508142703804869,0.0417975539543363
06486000,0.323091755249453,0.154656017240635
06607500,0.511539156522894,0.000922738136869272
06610505,0.404578428863698,0.0886803818476079
06630000,0.699828890763063,0.021198923896923
06643500,1.00696735664163,0.123608562603752
06720500,1.90136354974022,0.179661629316518
06758500,0.289252770074225,0.0014061353593251
06770500,1.25760363960293,0.368831698757142
06796000,0.650485675079911,0.148612392277064
06799350,0.280317787743553,0.0269859032117941
06800500,0.723462704598409,0.0136516351419869
06805500,0.592696356663263,0.0748342499369327
06807000,0.259901077419184,0.0370671332754429
06817700,0.613261907557582,0.034763198334709
06818000,0.658606075763522,0.022230674761627
06887500,1.7808014280907,0.28962115349301
06889000,0.222032569598132,0.101827764078587
06892350,0.565721153958496,0.0578658157558536
06893000,0.445798981404699,0.0141573124877801
06902000,0.995778772843476,0.0799004073190488
06909000,0.339980732422236,0.0460232112122203
06916600,1.494913173338,0.40729355121285
06926510,0.384308397753638,0.0310308637133474
06930800,0.276006714346233,0.0258725972960057
06934500,0.531399428651852,0.00255213941336607
06935965,0.203770494876727,0.00355800071243428
06937000,0.528512739070898,0.0570209870042688
07005500,0.0538529207918976,0.103942831809495
07010000,0.300692357548166,0.0102930347402324
07019000,0.304540221216733,0.0272004952847287
07019280,0.629059183210085,0.0885708496708739
07020500,0.279431613350843,0.0429048907105539
07022000,0.252167812989398,0.055806408747238
07032000,1.44971199395512,0.0536943275838244
07040130,0.362303893108826,0.0263366061573029
07046600,0.448176841755919,0.20630216446023
07047810,0.471315825057029,0.00163478761991964
07057370,0.870828693386971,0.0948725755382203
07060500,1.67913775655109,0.0168744291697263
07068000,0.402040417669558,0.0325842577916475
07069000,0.256093089254128,0.00722818200295716
07074500,0.19160599601324,0.013093968161271
07077000,0.571082188119838,0.029319241779991
07146500,1.18122798363182,0.445794801619457
07161000,3.08865595715161,0.302775496190091
07185000,2.25394210071528,0.320045074321533
07188000,0.580749222534452,0.0595685028047197
07240200,0.935747692264863,1.11022302462516e-15
07249455,1.17111130737599,0.178712800880234
07250550,1.27949000012764,0.0935077656927086
07258000,0.53589037193636,0.121728705693724
07261260,0.450023777212162,0.0404422989346598
07263620,1.01886011252478,0.0496904667809466
07265283,0.513992987285539,0.0182675196334028
07288700,0.382775580744242,0.111812347266671
07288800,1.28105970443641,0.208166276903574
07288955,0.644615474958825,0.0618794892554111
07295100,0.210678214754908,0.00634800097383437
07316000,0.742575078167323,0.0639184476456769
07331600,0.382036398033188,0.181650314336463
07337000,0.777916515271959,0.0617700377096342
07344350,0.0776807176671399,0.179834922955538
07350500,0.448517245458881,0.0231401577827588
07351930,0.721996285488362,0.00663328576610578
07355500,0.477658533623907,0.0672370603502956
07355600,0.440574301528286,0.0308561662043603
07359500,0.426412980158712,0.0230364800064484
07359580,0.36272693279005,0.0974313472366801
07362000,0.283262189385144,0.231873985559345
07367640,0.34645552812971,0.0251684560209684
07373420,0.229227653385825,0.013038978449081
07374000,0.280463184354704,0.0263154365692315
07374400,0.365059816528766,0.0178165910268817
07374525,0.229041507910695,0.062155653307771
07381490,0.327663614354986,0.00389634777414827
07381495,0.320778941052668,0.0197365904416527
08012150,0.493679663435672,0.0469797685744762
08041000,0.0855708386764791,0.0745644307426272
08057448,0.632510425322764,0.1065718976697
08067000,0.277263163243138,0.0464355878054896
08067252,1.05703838108136,0.181944470694691
08069500,0.411214731969381,0.0103253318607661
08098290,0.293453339709289,0.741662697075465
08114000,1.37927469435039,0.00855497125744775
08116650,0.38100085930806,0.0491539237080771
08313000,1.00497293420364,0.0446512538206453
08313150,1.21347164879736,0.00785224779075811
08330000,0.791065593474673,0.0189174122712101
08331000,0.745939083852364,0.0970912044796684
08354900,0.843972405839374,0.0166089558861834
08358400,0.868410408076804,0.0231619346833089
08450900,1.68811974676958,0.307122027926537
08459200,0.496946383917037,0.00795951207850032
08461300,0.825741858350554,0.0211571764462135
09058000,0.645888216248621,0.0344808890383193
09070500,2.30637871128497,0.175025765485876
09095500,0.869433468334823,0.0401181371431141
09152500,0.538407044999439,0.0129640159049482
09163500,0.403034946973455,0.042995197936663
09180500,0.972178651515071,0.150689621286104
09205000,0.211494014526189,1.51719704849805
09209400,1.95245139110481,0.077610438180679
09251100,1.90012260621602,0.47648912769175
09260050,1.39747736843288,0.163310600158848
09315000,0.668086515795077,0.117612603957853
09380000,1.38047115492756,0.282571055751998
09415230,0.948503865518207,0.225191690127722
09427520,1.43894331098404,0.000258879246687993
09429490,0.585771045360166,0.0727321479384191
09518000,0.494434643906657,0.0132658157270467
09522000,0.531516766592915,0.031425709356677
10126000,0.415527455480039,0.0830361728764941
10350500,0.682593961952206,0.0927336178923925
11075610,0.511906902297096,0.0255258137720871
11078000,1.81661410720053,0.148727054738765
11274000,0.620194201414698,1.11022302462516e-15
11303500,0.242125017104158,0.0195907225146083
11389500,0.28729030895757,0.0314584490593941
11407150,0.404080063885981,0.0633084392202967
11467000,0.242768434314544,0.0218648419599895
12200500,0.376792922816207,0.00454375388927641
12309500,0.781431932760373,0.0186425568407429
12322000,0.417426535500469,0.0538172233679256
12340500,0.577287366513231,0.016849488342003
12351200,1.88675134594813,0.016856744210962
12352500,1.17070793342315,0.160323244507716
12353000,0.223139312957904,0.0459711326382439
12354500,0.707166705436028,0.120855683593162
12363000,4.05090710897928,0.175880958780931
12369000,0.455838843375737,0.0763120539794611
12388700,0.751190134295704,0.00634874252452411
12391950,0.525550355913009,0.00670607080845431
12392000,0.275775622809422,0.0585237188195589
12400520,0.458201450472147,0.0158978761005955
12413500,0.609223410446451,0.0659776622003416
12413810,0.241742691848585,0.0583516678554965
12413860,0.562407448007996,0.0268791561252516
12415135,1.16483150244177,0.212986660289795
12415140,0.333178789312204,0.0706204232837107
12417610,0.286664898009432,0.00467856826499391
12419000,0.616814255805197,0.0163071887455493
12447200,1.07341843496633,0.132068444113652
12472900,0.460210878177662,0.0244001070444144
12473520,0.400642981141991,0.0815458111213276
12509050,0.239925882683443,0.0208345741126375
13013650,0.507991743953812,0.282201668414267
13037500,1.08418107863689,0.0533652641392199
13060000,0.831607470058533,0.098167284404183
13069500,0.708582506880278,0.103171390852334
13081500,0.32245362821696,0.0164808362576248
13090000,1.11441875295335,0.0538858388909571
13154500,0.323555525865691,0.0302668196830418
13172500,0.653764378933837,0.161328746584624
13213100,0.414213562373095,0.0176686405607118
13251000,0.114978186176986,0.00379014235967734
13269000,0.0888816836130038,0.0388352108516363
13317000,0.711898778237537,0.0168460534160324
13334300,0.783115827567563,0.121973954286604
13336500,3.307979505711,0.053460071644603
13340000,1.79071633126501,0.248808958264949
13340600,0.673320053068151,0.0840272131983695
13342500,1.11074206671892,0.0267310491538602
13353200,0.370874788602512,0.0391111525932291
14128910,0.798934330397611,0.00761120983287622
14211720,0.186685861268714,0.0140153006272283
14246900,0.650696047669698,0.0240129285480324
15266300,0.302480471349305,0.0799458536686645
15292780,1.47826870914504,0.524970183780562
15356000,1.2629008888846,0.331335782685531
15389000,1.38826332184847,0.248520425548737
15453500,0.149482630491287,0.0655869526609341
15515500,0.874441449883724,0.0567448663240353
15565447,0.162158347052668,0.081703572918244
322023090544500,0.279287609225567,0.0429665715261895
431510077363501,0.680070140736561,0.0292838100973285
Bansin Intake,0.396768489516117,0.090300242661139
Chongyang Bridge,0.19691571972825,0.0833465461808072
Cinhi Bridge,1.06749962757051,0.0475145348420551
Ciulan Bridge,1.56375859268543,0.0330274124129499
Dadu Bridge,1.24822426491057,0.167655655389333
Danshuei River Mouth,0.419255337945119,0.0190717268216829
Fuchou Bridge,2.51815451676666,0.215216476552877
Gaopingda Bridge,1.51822426314621,0.0201268377050048
Guoshen Bridge,0.804994171235801,0.0102355480554552
Gwandu Bridge,0.49925841305393,0.0202218241090062
Huajhian Bridge,0.706422355163182,0.0461347430506502
Huajhong Bridge,1.12720169511626,0.0192436096941933
Hualienda Bridge,1.20354599980623,0.267403679459722
Jhongshou Bridge.,1.44162619201598,0.178938191951919
Lanyangda Bridge,2.11721575749816,0.198187954569947
Ligangda Bridge,4.23492743680106,0.112985462682619
Linko Bridge,6.70375218293742,0.126184514849273
Marsonda Bridge,0.761524005402272,0.0207030314695222
Minchiuda Bridge,1.86330424070075,0.0292201287422562
Rueisueida Bridge,1.24205024239753,0.0230453207544852
Sanying Bridge,0.940352464247782,0.0471975843158896
Shuangyuanda Bridge,1.34591491588827,0.0920840712495778
Sigangda Bridge,0.548941093654731,0.0753987415155193
Sinlanda Bridge,2.05570767541504,0.110578511355578
Taitungda Bridge,2.90521925928966,0.0972316260378638
Wandada Bridge,1.33426362670648,0.00445833822734443
Zengwun River Mouth,0.707969485474963,0.0137561120273484
